epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,618.737,0.51212,0.42755,1.10785,0.99829,1,0.995,0.85969,0.58549,0.32534,1.37076,0.0002048,0.0002048,0.0002048
138,623.439,0.50438,0.41708,1.12369,0.99815,1,0.995,0.86737,0.57985,0.31744,1.37175,0.0001916,0.0001916,0.0001916
139,628.617,0.48364,0.38286,1.11657,0.99819,1,0.995,0.86986,0.57581,0.31129,1.36417,0.0001784,0.0001784,0.0001784
140,633.758,0.48684,0.3642,1.14316,0.99789,1,0.995,0.85838,0.58278,0.32577,1.37538,0.0001652,0.0001652,0.0001652
141,638.553,0.3352,0.35738,1.06877,0.99719,1,0.995,0.85787,0.59607,0.32887,1.3902,0.000152,0.000152,0.000152
142,643.225,0.30008,0.29546,1.04405,0.99596,1,0.995,0.86073,0.59505,0.33825,1.38708,0.0001388,0.0001388,0.0001388
143,648.041,0.32035,0.29417,1.02012,0.99557,1,0.995,0.87206,0.59019,0.34817,1.37541,0.0001256,0.0001256,0.0001256
144,652.707,0.30976,0.30139,1.00193,0.99582,1,0.995,0.86881,0.58926,0.355,1.37123,0.0001124,0.0001124,0.0001124
145,657.318,0.32425,0.29376,1.05903,0.99706,1,0.995,0.86062,0.59089,0.34436,1.36442,9.92e-05,9.92e-05,9.92e-05
146,661.747,0.32498,0.29442,1.04278,0.9976,1,0.995,0.873,0.58422,0.33771,1.35151,8.6e-05,8.6e-05,8.6e-05
147,666.215,0.31939,0.30013,1.04763,0.99746,1,0.995,0.87465,0.58424,0.34346,1.35342,7.28e-05,7.28e-05,7.28e-05
148,670.81,0.28261,0.28325,1.01324,0.99753,1,0.995,0.86518,0.58625,0.34049,1.35689,5.96e-05,5.96e-05,5.96e-05
149,675.373,0.29377,0.27201,1.02982,0.99734,1,0.995,0.86127,0.58216,0.33683,1.35038,4.64e-05,4.64e-05,4.64e-05
150,679.848,0.31272,0.28817,1.01605,0.99731,1,0.995,0.85918,0.5868,0.33739,1.36125,3.32e-05,3.32e-05,3.32e-05
